word,indicativeness
good,0.0019499030733841215
ok,0.000929375112077996
decent,0.0009168323880792545
other,0.0005533924000168738
okay,0.0005165594123724414
overall,0.0004927561657634703
small,0.00048421392729902955
average,0.00044911526319855495
better,0.0004420348577499342
nice,0.0003977316719735562
more,0.0002951734435165463
bad,0.00027770943354304224
special,0.00027568679093912304
hot,0.00025896171204003716
large,0.00024748298282300314
fine,0.00023673168977161795
typical,0.00019177843524999268
standard,0.00018969058222581583
dry,0.000183669620479214
cheap,0.00018172537323904664
few,0.00016543194590377762
expensive,0.00016227601933929567
bland,0.00015557140566238302
thin,0.00015469345577675663
alright,0.00015257931114892503
sweet,0.00013969981686408337
big,0.00013872142248980946
fried,0.00012946119395415397
chinese,0.00012570465046450504
little,0.00012093889750453697
salty,0.00011273378949493611
busy,0.0001106885255009278
crispy,0.00010309571210127094
cold,9.844150954234812e-05
slow,9.709218902098182e-05
tasty,9.531135709763068e-05
korean,9.444864038536376e-05
pricey,9.345873836653934e-05
similar,9.339298720054721e-05
weird,9.293394702807784e-05
most,9.039609895253094e-05
grilled,8.589957037376653e-05
main,8.46368365837306e-05
likely,8.20937428248225e-05
black,7.937320788685679e-05
tough,7.933323177644127e-05
chewy,7.794313469077983e-05
interesting,7.792753484778072e-05
same,7.54064567259778e-05
spicy,7.196109308149328e-05
less,6.99844548787168e-05
hungry,6.537466745493525e-05
mediocre,6.383070451531873e-05
sized,6.3014553817339e-05
memorable,6.122749951742536e-05
vietnamese,6.101911207324196e-05
regular,6.029883838629521e-05
solid,6.0186243752394845e-05
soft,5.954866050064239e-05
crisp,5.874320636956016e-05
green,5.8494550702237114e-05
medium,5.7093396984474824e-05
tender,5.6742717069352186e-05
due,5.6425235591906826e-05
higher,5.6287508814984495e-05
soggy,5.543922955526976e-05
meh,5.4986344828275646e-05
late,5.394952039594956e-05
loud,5.35363676222225e-05
traditional,5.2826750259146725e-05
biggest,5.242779069004164e-05
boring,5.149648542452881e-05
quiet,5.138102958378993e-05
thick,4.970894240183323e-05
odd,4.836475443067054e-05
instant,4.7721361007575084e-05
hard,4.658278071538121e-05
fast,4.5999674196606107e-05
oily,4.438825987968974e-05
white,4.435247634608768e-05
clean,4.352062002511848e-05
fair,4.3149606921013165e-05
acceptable,4.312607900599411e-05
short,4.306454864175726e-05
dark,4.244461097286892e-05
longer,4.2322975078715496e-05
different,4.216083073810748e-05
bigger,4.2064288846031954e-05
stale,4.205678907634891e-05
japanese,4.135392376524055e-05
disappointing,4.006893669981083e-05
own,3.9536233079130915e-05
organic,3.938490083081028e-05
usual,3.907619571306326e-05
mushy,3.693145351465125e-05
flavourful,3.5980356703403845e-05
crab,3.593657261619077e-05
brown,3.555579820621802e-05
panko-crusted,3.546101013419765e-05
sticky,3.487258468492846e-05
spectacular,3.2670356208209085e-05
wrong,3.141857117827579e-05
skimpy,3.05937738875086e-05
inconsistent,3.05937738875086e-05
french,3.0276185412104838e-05
successful,3.0241182042344443e-05
red,3.0130276017226674e-05
sure,2.980298711517701e-05
flavorful,2.899178719258634e-05
empty,2.8923432421464163e-05
major,2.8444638564974428e-05
specific,2.8212278861243542e-05
signature,2.771961477763488e-05
strange,2.771961477763488e-05
thinner,2.7485091843792644e-05
newer,2.7485091843792644e-05
cheaper,2.7176561026615615e-05
fancier,2.696655813476675e-05
certain,2.676818381111125e-05
deep,2.6558158895262466e-05
larger,2.604867811325711e-05
heavy,2.590312703854086e-05
upscale,2.5690514791894964e-05
double,2.528291920437078e-05
dismal,2.514248036403754e-05
popular,2.5089341413989063e-05
smokey,2.4837846183465395e-05
american,2.4507969932412454e-05
nicer,2.442068909237169e-05
prime,2.440631763032438e-05
underwhelming,2.4380210760715406e-05
original,2.3930197841320434e-05
lively,2.3788526555703265e-05
uncomfortable,2.3671130313697578e-05
weak,2.36305967803101e-05
recent,2.3499684853673903e-05
cute,2.3373115827775866e-05
central,2.3082365893275263e-05
fun,2.3030030398364908e-05
stiff,2.2933648455616012e-05
limited,2.2893830909475606e-05
wet,2.2742288437208366e-05
adequate,2.2562997711004293e-05
icy,2.2506378655404928e-05
viet,2.2506378655404928e-05
impossible,2.2000288639621352e-05
harder,2.184785629694432e-05
much,2.15921964952893e-05
funny,2.159153932350667e-05
runny,2.1563039502997055e-05
questionable,2.128118831037104e-05
mast-akhir,2.1276606080518598e-05
commendable,2.1276606080518598e-05
crispier,2.1211092081521133e-05
strong,2.1065820080406112e-05
tiny,2.0954381321223573e-05
smaller,2.091895852171281e-05
aside,2.0676961882620276e-05
russian,2.0670786969542437e-05
ample,2.059077614860143e-05
rubbery,2.059077614860143e-05
steep,2.0511394150427707e-05
insane,2.0511394150427707e-05
watery,2.033200511196238e-05
softer,2.0277586418079168e-05
greasy,1.9715527204558347e-05
dim,1.873131619866186e-05
sparse,1.872673396880942e-05
stingy,1.872673396880942e-05
convenient,1.848773605061336e-05
so-so,1.84691879031682e-05
dirty,1.8183176016855546e-05
half-priced,1.8157011162334507e-05
4-star,1.8157011162334507e-05
frat,1.8157011162334507e-05
rowdy,1.8157011162334507e-05
vegetarian,1.7930712764003177e-05
affordable,1.784243865938633e-05
obnoxious,1.7554135153195993e-05
generic,1.743629234246423e-05
frozen,1.724366057647168e-05
uneven,1.685253102316805e-05
least,1.682404376266098e-05
burnt,1.6766604846392103e-05
meaty,1.6650058843254987e-05
below,1.664394920345173e-05
stained,1.664394920345173e-05
economical,1.664394920345173e-05
outside,1.6127391435801514e-05
lol,1.6025123710881342e-05
general,1.6002239057707132e-05
mixed,1.576069294302647e-05
-good,1.5737265354844064e-05
awe,1.5737265354844064e-05
smothered,1.5737265354844064e-05
unimpressive,1.5737265354844064e-05
smoky,1.5737265354844064e-05
ethnic,1.560561164067451e-05
bare,1.54889911713463e-05
mid,1.54889911713463e-05
